Transaction Date,Description,Debit,Credit,Balance
2026-05-01,SALARY CREDIT ACME TECH,,125000,185430
2026-05-02,NEFT HOUSE RENT TO LANDLORD,28000,,157430
2026-05-03,UPI/SWIGGY/food order,640,,156790
2026-05-04,POS 4451 DMART MIYAPUR,2380,,154410
2026-05-05,UPI/ANIL KUMAR/personal transfer,1500,,152910
2026-05-06,TSSPDCL ELECTRICITY BILL,2450,,150460
2026-05-07,ATM CASH WITHDRAWAL,5000,,145460
2026-05-10,GROWW SIP INVESTMENT,10000,,135460
2026-05-12,UPI/ZOMATO/dinner order,820,,134640
2026-05-15,CREDIT CARD PAYMENT HDFC,18000,,116640
